name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,icon
Kepler-446 d,314.0,17.5041,Super Earth,2015,2.39,Earth,1.35,Earth,0.0403,0.013963039,0.0,Transit,sat
Kepler-447 b,874.0,12.52,Gas Giant,2015,1.37,Jupiter,1.65,Jupiter,0.0769,0.021355236,0.12,Transit,jupi
Kepler-449 c,789.0,11.448,Neptune-like,2015,8.07,Earth,0.247,Jupiter,0.1979,0.092265576,0.05,Transit,np
Kepler-44 b,3875.0,14.803,Gas Giant,2011,1.0,Jupiter,1.09,Jupiter,0.0446,0.008761123,0.066,Transit,jupi
Kepler-450 d,1487.0,11.991,Super Earth,2015,17.6,Earth,0.837,Earth,0.082,0.02053388,0.14,Transit,sat
Kepler-451 d,1293.0,12.651,Gas Giant,2022,1.76,Jupiter,1.2,Jupiter,,0.117727585,0.0,Eclipse Timing Variations,jupi
Kepler-452 b,1800.0,13.54,Super Earth,2015,3.29,Earth,1.63,Earth,1.046,1.053525,0.0,Transit,sat
Kepler-454 c,753.0,11.567,Gas Giant,2015,4.46,Jupiter,1.15,Jupiter,,1.4,0.02,Radial Velocity,jupi
Kepler-45 b,1246.0,16.744,Gas Giant,2011,0.505,Jupiter,0.96,Jupiter,0.03,0.0068446267,0.11,Transit,jupi
Kepler-461 b,2258.0,13.457,Neptune-like,2016,7.18,Earth,0.23,Jupiter,0.0821,0.022724163,0.0,Transit,np
Kepler-462 c,1946.0,11.632,Neptune-like,2020,6.0,Earth,0.357,Jupiter,0.7584,0.56837785,0.11,Transit,np
Kepler-463 b,1288.0,12.999,Neptune-like,2016,9.53,Earth,0.272,Jupiter,0.078,0.024640657,0.0,Transit,np
Kepler-464 b,2178.0,12.75,Neptune-like,2016,10.9,Earth,0.294,Jupiter,0.0765,0.019986311,0.0,Transit,np
Kepler-465 b,1804.0,12.651,Neptune-like,2016,9.01,Earth,0.263,Jupiter,0.0953,0.027104722,0.0,Transit,np
Kepler-466 c,1729.0,12.799,Super Earth,2016,2.1,Earth,1.25,Earth,0.0465,0.010130048,0.0,Transit,sat
Kepler-467 b,1521.0,12.428,Neptune-like,2016,5.69,Earth,0.201,Jupiter,0.1651,0.06844627,0.0,Transit,np
Kepler-46 d,2535.0,15.312,Super Earth,2014,3.33,Earth,1.64,Earth,0.067,0.018617386,0.0,Transit,sat
Kepler-470 b,3033.0,13.282,Gas Giant,2016,112.0,Jupiter,1.288,Jupiter,0.2322,0.06762492,0.0,Transit,jupi
Kepler-471 b,4076.0,13.767,Gas Giant,2016,117.0,Jupiter,1.335,Jupiter,0.0626,0.0136892535,0.0,Transit,jupi
Kepler-472 b,1000.0,13.898,Neptune-like,2016,10.5,Earth,0.287,Jupiter,0.0483,0.011498973,0.0,Transit,np
Kepler-473 b,2955.0,13.548,Neptune-like,2016,15.6,Earth,0.364,Jupiter,0.1186,0.039972622,0.0,Transit,np
Kepler-474 b,2745.0,13.629,Neptune-like,2016,9.59,Earth,0.273,Jupiter,0.0606,0.015605749,0.0,Transit,np
Kepler-475 b,914.0,13.512,Neptune-like,2016,6.76,Earth,0.222,Jupiter,0.0399,0.008487337,0.0,Transit,np
Kepler-478 b,1370.0,14.156,Neptune-like,2016,7.8,Earth,0.242,Jupiter,0.1032,0.03613963,0.0,Transit,np
Kepler-479 b,1125.0,13.724,Neptune-like,2016,5.14,Earth,2.12,Earth,0.0994,0.034223136,0.0,Transit,np
