name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,icon
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,Radial Velocity,jupi
14 Andromedae b,246.0,5.23133,Gas Giant,2008,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0.0,Radial Velocity,jupi
18 Delphini b,249.0,5.51048,Gas Giant,2008,10.3,Jupiter,1.11,Jupiter,2.6,2.7,0.08,Radial Velocity,jupi
2MASS J01225093-2439505 b,110.0,14.244,Gas Giant,2013,24.5,Jupiter,1.0,Jupiter,52.0,593.2,0.0,Direct Imaging,jupi
BD+03 2562 b,3492.0,9.577,Gas Giant,2017,6.4,Jupiter,1.13,Jupiter,1.3,1.3193703,0.2,Radial Velocity,jupi
BD-13 2130 b,3018.0,10.038,Gas Giant,2007,9.78,Jupiter,1.11,Jupiter,1.66,2.0,0.21,Radial Velocity,jupi
BD+15 2375 b,2505.0,10.41,Gas Giant,2016,1.061,Jupiter,1.23,Jupiter,0.576,0.41943872,0.0,Radial Velocity,jupi
BD+15 2940 b,1391.0,9.01,Gas Giant,2013,1.11,Jupiter,1.23,Jupiter,0.539,0.37645447,0.26,Radial Velocity,jupi
BD+20 2457 c,5023.0,9.743,Gas Giant,2009,12.47,Jupiter,1.1,Jupiter,2.01,1.7,0.18,Radial Velocity,jupi
BD+20 274 b,4314.0,9.367,Gas Giant,2012,4.2,Jupiter,1.16,Jupiter,1.3,1.6,0.21,Radial Velocity,jupi
BD+49 828 b,1442.0,9.381,Gas Giant,2015,1.6,Jupiter,1.21,Jupiter,4.2,7.1,0.35,Radial Velocity,jupi
BD+55 362 b,171.0,9.38,Gas Giant,2021,0.72,Jupiter,1.25,Jupiter,0.78,0.7271732,0.27,Radial Velocity,jupi
CD Ceti b,28.0,13.95,Super Earth,2020,3.95,Earth,1.82,Earth,0.0185,0.0062970566,0.0,Radial Velocity,sat
CFBDSIR J145829+101343 b,75.0,,Gas Giant,2011,10.5,Jupiter,1.11,Jupiter,2.6,27.5,0.0,Direct Imaging,jupi
CoRoT-12 b,3674.0,15.588,Gas Giant,2010,0.917,Jupiter,1.44,Jupiter,0.04016,0.007665982,0.07,Transit,jupi
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,1.308,Jupiter,0.885,Jupiter,0.051,0.0109514035,0.0,Transit,jupi
CoRoT-14 b,5691.0,15.932,Gas Giant,2010,7.6,Jupiter,1.09,Jupiter,0.027,0.0041067763,0.0,Transit,jupi
CoRoT-16 b,2389.0,16.052,Gas Giant,2011,0.535,Jupiter,1.17,Jupiter,0.0618,0.014784395,0.33,Transit,jupi
CoRoT-17 b,3837.0,16.29,Gas Giant,2011,2.43,Jupiter,1.02,Jupiter,0.0461,0.010403832,0.0,Transit,jupi
CoRoT-20 c,2753.0,14.63,Gas Giant,2018,17.0,Jupiter,1.09,Jupiter,2.9,4.6,0.6,Radial Velocity,jupi
CoRoT-21 b,4563.0,16.058,Gas Giant,2012,2.26,Jupiter,1.3,Jupiter,0.0417,0.0073921974,0.0,Transit,jupi
CoRoT-23 b,3461.0,15.675,Gas Giant,2011,2.8,Jupiter,1.05,Jupiter,0.048,0.009856262,0.16,Transit,jupi
CoRoT-25 b,3600.0,14.79,Gas Giant,2013,0.27,Jupiter,1.08,Jupiter,0.0578,0.013415469,0.0,Transit,jupi
CoRoT-26 b,3409.0,15.861,Gas Giant,2013,0.52,Jupiter,1.26,Jupiter,0.0526,0.011498973,0.0,Transit,jupi
CoRoT-27 b,3296.0,15.774,Gas Giant,2014,10.39,Jupiter,1.007,Jupiter,0.0476,0.009856262,0.065,Transit,jupi
CoRoT-28 b,2499.0,13.783,Gas Giant,2015,0.484,Jupiter,0.955,Jupiter,0.0603,0.014236824,0.05,Transit,jupi
CoRoT-29 b,2631.0,15.408,Gas Giant,2015,0.85,Jupiter,0.9,Jupiter,0.0386,0.007939767,0.08,Transit,jupi
CoRoT-30 b,3367.0,15.571,Gas Giant,2020,2.9,Jupiter,1.009,Jupiter,0.0844,0.024914443,0.01,Transit,jupi
CoRoT-31 b,6543.0,15.479,Gas Giant,2020,0.84,Jupiter,1.46,Jupiter,0.0586,0.012594113,0.02,Transit,jupi
CoRoT-35 b,3664.0,15.635,Gas Giant,2022,1.1,Jupiter,1.68,Jupiter,0.0429,0.008761123,0.0,Transit,jupi
CoRoT-36 b,3020.0,13.126,Gas Giant,2022,0.68,Jupiter,1.41,Jupiter,0.066,0.015331964,0.0,Transit,jupi
CoRoT-4 b,2370.0,13.652,Gas Giant,2008,0.72,Jupiter,1.19,Jupiter,0.09,0.025188226,0.0,Transit,jupi
CoRoT-6 b,2105.0,13.961,Gas Giant,2009,2.96,Jupiter,1.166,Jupiter,0.0855,0.02436687,0.1,Transit,jupi
CoRoT-8 b,1050.0,14.792,Gas Giant,2010,0.22,Jupiter,0.57,Jupiter,0.063,0.016974675,0.0,Transit,jupi
CoRoT-9 b,1347.0,13.637,Gas Giant,2009,0.84,Jupiter,1.066,Jupiter,0.4021,0.2609172,0.13,Transit,jupi
DH Tauri b,440.0,13.98,Gas Giant,2004,11.0,Jupiter,2.7,Jupiter,330.0,10441.5,0.0,Direct Imaging,jupi
EPIC 201427007 b,2304.0,14.321,Super Earth,2021,2.86,Earth,1.5,Earth,,0.0019164955,0.0,Transit,sat
EPIC 201595106 b,757.0,11.746,Super Earth,2021,2.24,Earth,1.3,Earth,,0.0024640656,0.0,Transit,sat
EPIC 201757695.02,1884.0,14.974,Terrestrial,2020,0.688,Earth,0.908,Earth,0.0296,0.0054757018,0.0,Transit,mars
EPIC 206317286 c,1025.0,14.005,Super Earth,2022,5.03,Earth,2.094,Earth,,0.04791239,0.0,Transit,sat
EPIC 212424622 b,1996.0,13.441,Neptune-like,2019,5.35,Earth,2.17,Earth,,0.0495551,0.0,Transit,np
EPIC 212587672 c,1044.0,12.488,Neptune-like,2016,5.99,Earth,0.207,Jupiter,,0.06351814,0.0,Transit,np
EPIC 220674823 c,798.0,12.101,Neptune-like,2016,5.8,Earth,2.2,Earth,0.1091,0.036413416,0.18,Transit,np
EPIC 246851721 b,1216.0,11.237,Gas Giant,2018,3.0,Jupiter,1.051,Jupiter,0.07229,0.016974675,0.0,Transit,jupi
Epsilon Coronae Borealis b,228.0,4.12577,Gas Giant,2012,6.7,Jupiter,1.13,Jupiter,1.3,1.1441479,0.11,Radial Velocity,jupi
Epsilon Eridani b,10.0,3.71548,Gas Giant,2000,0.66,Jupiter,1.25,Jupiter,3.53,7.3,0.07,Radial Velocity,jupi
FU Tauri b,435.0,,Gas Giant,2008,16.0,Jupiter,1.09,Jupiter,800.0,101250.8,0.0,Direct Imaging,jupi
Gaia-1 b,1186.0,13.242,Gas Giant,2022,1.68,Jupiter,1.229,Jupiter,0.04047,0.008487337,0.0,Transit,jupi
Gaia-2 b,683.0,11.277,Gas Giant,2022,0.817,Jupiter,1.322,Jupiter,0.0467,0.010130048,0.0,Transit,jupi
GJ 179 b,40.0,11.963,Gas Giant,2009,0.82,Jupiter,1.24,Jupiter,2.41,6.3,0.21,Radial Velocity,jupi
GJ 3082 b,54.0,11.041,Neptune-like,2020,8.2,Earth,0.249,Jupiter,0.079,0.032580424,0.22,Radial Velocity,np
GJ 3323 c,18.0,12.57,Super Earth,2017,2.31,Earth,1.32,Earth,0.1264,0.11088296,0.17,Radial Velocity,sat
GJ 3779 b,45.0,13.04,Neptune-like,2018,8.0,Earth,0.245,Jupiter,0.026,0.008213553,0.07,Radial Velocity,np
GJ 393 b,23.0,9.65,Super Earth,2021,1.71,Earth,1.17,Earth,0.05402,0.019164955,0.0,Radial Velocity,sat
GJ 486 b,26.0,11.39,Super Earth,2021,2.82,Earth,1.305,Earth,0.01734,0.0041067763,0.05,Radial Velocity,sat
GJ 514 b,25.0,9.05,Neptune-like,2022,5.2,Earth,2.13,Earth,0.422,0.38439423,0.45,Radial Velocity,np
GJ 667 C g,24.0,10.602,Super Earth,2013,4.6,Earth,1.99,Earth,0.549,0.7014374,0.08,Radial Velocity,sat
GJ 9066 c,15.0,12.71,Gas Giant,2020,0.21,Jupiter,0.856,Jupiter,0.88,2.1,0.46,Radial Velocity,jupi
GJ 9714 b,67.0,9.37,Gas Giant,2022,9.60029,Jupiter,1.11,Jupiter,12.341073,52.7,0.16,Radial Velocity,jupi
Gl 49 b,32.0,9.56,Neptune-like,2019,5.63,Earth,0.2,Jupiter,0.0905,0.038056124,0.36,Radial Velocity,np
Gl 686 b,27.0,9.62,Neptune-like,2018,6.624,Earth,0.22,Jupiter,0.091,0.042436685,0.05,Radial Velocity,np
GPX-1 b,2137.0,12.316,Gas Giant,2021,19.7,Jupiter,1.47,Jupiter,0.0338,0.0046543465,0.0,Transit,jupi
HAT-P-12 b,466.0,12.665,Gas Giant,2009,0.211,Jupiter,0.959,Jupiter,0.0384,0.008761123,0.0,Transit,jupi
HAT-P-14 b,726.0,9.988,Gas Giant,2010,3.44,Jupiter,1.42,Jupiter,0.0596,0.012594113,0.11,Transit,jupi
HAT-P-15 b,628.0,12.41,Gas Giant,2010,1.94,Jupiter,1.06,Jupiter,0.0965,0.029842572,0.19,Transit,jupi
HAT-P-1 b,519.0,9.827,Gas Giant,2006,0.525,Jupiter,1.319,Jupiter,0.05561,0.0123203285,0.0,Transit,jupi
HAT-P-21 b,904.0,11.459,Gas Giant,2010,4.87,Jupiter,1.11,Jupiter,0.0494,0.011225188,0.23,Transit,jupi
HAT-P-22 b,267.0,9.763,Gas Giant,2010,2.47,Jupiter,1.15,Jupiter,0.0414,0.008761123,0.02,Transit,jupi
HAT-P-23 b,1190.0,11.937,Gas Giant,2010,1.34,Jupiter,1.09,Jupiter,0.0232,0.003285421,0.11,Transit,jupi
HAT-P-2 b,417.0,8.72,Gas Giant,2007,8.7,Jupiter,0.951,Jupiter,0.06814,0.015331964,0.52,Transit,jupi
HAT-P-32 b,943.0,11.439,Gas Giant,2011,0.68,Jupiter,1.98,Jupiter,0.03397,0.006023272,0.16,Transit,jupi
HAT-P-35 b,1654.0,12.389,Gas Giant,2011,1.056,Jupiter,1.332,Jupiter,0.04978,0.009856262,0.02,Transit,jupi
HAT-P-36 b,960.0,12.146,Gas Giant,2011,1.8482,Jupiter,1.277,Jupiter,0.0241,0.003559206,0.06,Transit,jupi
HAT-P-40 b,1515.0,11.34,Gas Giant,2012,0.48,Jupiter,1.52,Jupiter,0.0608,0.0123203285,0.0,Transit,jupi
HAT-P-51 b,1436.0,13.51,Gas Giant,2015,0.309,Jupiter,1.293,Jupiter,0.05069,0.011498973,0.123,Transit,jupi
HAT-P-52 b,1178.0,14.107,Gas Giant,2015,0.818,Jupiter,1.009,Jupiter,0.03694,0.007665982,0.047,Transit,jupi
HAT-P-53 b,2175.0,13.78,Gas Giant,2015,1.484,Jupiter,1.318,Jupiter,0.03159,0.0054757018,0.134,Transit,jupi
HAT-P-54 b,469.0,13.398,Gas Giant,2015,0.76,Jupiter,0.944,Jupiter,0.04117,0.010403832,0.074,Transit,jupi
HAT-P-55 b,1668.0,13.197,Gas Giant,2015,0.582,Jupiter,1.182,Jupiter,0.04604,0.009856262,0.139,Transit,jupi
HAT-P-56 b,1046.0,10.92,Gas Giant,2015,2.31,Jupiter,1.51,Jupiter,0.0423,0.007665982,0.29,Transit,jupi
HAT-P-57 b,913.0,10.639,Gas Giant,2015,1.41,Jupiter,1.74,Jupiter,0.0406,0.0068446267,0.0,Transit,jupi
HAT-P-5 b,989.0,11.954,Gas Giant,2007,0.98,Jupiter,1.21,Jupiter,0.04073,0.007665982,0.0,Transit,jupi
HAT-P-63 b,14624.0,20.1544,Gas Giant,2021,0.614,Jupiter,1.119,Jupiter,0.04294,0.009308693,0.069,Transit,jupi
HAT-P-68 b,659.0,13.802,Gas Giant,2020,0.724,Jupiter,1.072,Jupiter,0.02996,0.0062970566,0.041,Transit,jupi
HAT-P-7 b,1113.0,10.481,Gas Giant,2008,1.84,Jupiter,1.51,Jupiter,0.03676,0.006023272,0.0,Transit,jupi
HATS-12 b,2434.0,12.831,Gas Giant,2016,2.39,Jupiter,0.692,Jupiter,0.0441,0.008487337,0.085,Transit,jupi
HATS-13 b,1376.0,13.911,Gas Giant,2015,0.543,Jupiter,1.212,Jupiter,0.04057,0.008213553,0.181,Transit,jupi
HATS-14 b,1673.0,14.052,Gas Giant,2015,1.071,Jupiter,1.039,Jupiter,0.03815,0.007665982,0.142,Transit,jupi
HATS-15 b,3717.0,14.909,Gas Giant,2016,2.17,Jupiter,1.105,Jupiter,0.02712,0.0046543465,0.126,Transit,jupi
HATS-1 b,926.0,12.155,Gas Giant,2012,1.855,Jupiter,1.302,Jupiter,0.0444,0.009308693,0.12,Transit,jupi
HATS-23 b,2084.0,13.84,Gas Giant,2017,1.47,Jupiter,1.86,Jupiter,0.03397,0.006023272,0.114,Transit,jupi
HATS-24 b,1612.0,12.915,Gas Giant,2017,2.26,Jupiter,1.395,Jupiter,0.0238,0.003559206,0.0,Transit,jupi
HATS-25 b,1537.0,13.172,Gas Giant,2016,0.613,Jupiter,1.26,Jupiter,0.05163,0.011772759,0.176,Transit,jupi
HATS-26 b,2811.0,13.006,Gas Giant,2016,0.65,Jupiter,1.75,Jupiter,0.04735,0.009034907,0.245,Transit,jupi
HATS-27 b,2665.0,12.782,Gas Giant,2016,0.53,Jupiter,1.5,Jupiter,0.0611,0.012594113,0.581,Transit,jupi
HATS-28 b,1746.0,13.981,Gas Giant,2016,0.672,Jupiter,1.194,Jupiter,0.04131,0.008761123,0.202,Transit,jupi
HATS-29 b,1154.0,12.62,Gas Giant,2016,0.653,Jupiter,1.251,Jupiter,0.05475,0.012594113,0.158,Transit,jupi
HATS-32 b,2431.0,14.386,Gas Giant,2016,0.92,Jupiter,1.249,Jupiter,0.04024,0.007665982,0.471,Transit,jupi
HATS-33 b,810.0,11.91,Gas Giant,2016,1.192,Jupiter,1.23,Jupiter,0.03727,0.0068446267,0.08,Transit,jupi
HATS-38 b,1121.0,11.967,Neptune-like,2020,23.51942,Earth,0.614,Jupiter,0.05036,0.012046544,0.0,Transit,np
HATS-39 b,2866.0,12.745,Gas Giant,2018,0.63,Jupiter,1.57,Jupiter,0.06007,0.012594113,0.275,Transit,jupi
HATS-40 b,4379.0,13.478,Gas Giant,2018,1.59,Jupiter,1.58,Jupiter,0.04997,0.009034907,0.312,Transit,jupi
HATS-42 b,2611.0,13.682,Gas Giant,2018,1.88,Jupiter,1.4,Jupiter,0.03689,0.0062970566,0.229,Transit,jupi
HATS-43 b,1182.0,13.562,Gas Giant,2018,0.261,Jupiter,1.18,Jupiter,0.04944,0.012046544,0.17,Transit,jupi
HATS-44 b,1455.0,14.397,Gas Giant,2018,0.56,Jupiter,1.067,Jupiter,0.03649,0.0073921974,0.279,Transit,jupi
HATS-48 A b,860.0,14.226,Gas Giant,2020,0.243,Jupiter,0.8,Jupiter,0.03769,0.008487337,0.162,Transit,jupi
HATS-53 b,1911.0,13.944,Gas Giant,2017,0.595,Jupiter,1.34,Jupiter,0.04753,0.010677618,0.33,Transit,jupi
HATS-57 b,912.0,12.333,Gas Giant,2019,3.147,Jupiter,1.139,Jupiter,0.03493,0.006570842,0.028,Transit,jupi
HATS-58 A b,1317.0,11.572,Gas Giant,2019,1.03,Jupiter,1.095,Jupiter,0.05798,0.011498973,0.168,Transit,jupi
HATS-61 b,2217.0,13.352,Gas Giant,2018,3.4,Jupiter,1.195,Jupiter,0.07908,0.021355236,0.09,Transit,jupi
HATS-63 b,2033.0,13.992,Gas Giant,2018,0.96,Jupiter,1.207,Jupiter,0.04026,0.008487337,0.14,Transit,jupi
HATS-64 b,3523.0,13.045,Gas Giant,2018,0.96,Jupiter,1.679,Jupiter,0.06562,0.013415469,0.15,Transit,jupi
HATS-66 b,4821.0,14.283,Gas Giant,2018,5.33,Jupiter,1.411,Jupiter,0.04714,0.008487337,0.06,Transit,jupi
HATS-67 b,3132.0,13.698,Gas Giant,2018,1.45,Jupiter,1.685,Jupiter,0.03032,0.0043805614,0.06,Transit,jupi
HATS-68 b,1970.0,12.312,Gas Giant,2018,1.29,Jupiter,1.232,Jupiter,0.05071,0.009856262,0.04,Transit,jupi
HATS-69 b,1352.0,14.074,Gas Giant,2018,0.577,Jupiter,0.945,Jupiter,0.03211,0.006023272,0.52,Transit,jupi
HATS-70 b,4759.0,12.227,Gas Giant,2019,12.9,Jupiter,1.384,Jupiter,0.03632,0.005201916,0.18,Transit,jupi
HATS-74 A b,977.0,17.26,Gas Giant,2021,1.46,Jupiter,1.032,Jupiter,0.02384,0.0046543465,0.044,Transit,jupi
HATS-75 b,636.0,15.689,Gas Giant,2021,0.491,Jupiter,0.884,Jupiter,0.032742,0.007665982,0.064,Transit,jupi
HATS-76 b,1258.0,16.68,Gas Giant,2021,2.629,Jupiter,1.079,Jupiter,0.02658,0.005201916,0.062,Transit,jupi
HATS-8 b,2592.0,14.512,Gas Giant,2015,0.138,Jupiter,0.873,Jupiter,0.04667,0.009856262,0.376,Transit,jupi
HD 102272 b,1132.0,8.69,Gas Giant,2008,4.94,Jupiter,1.15,Jupiter,0.51,0.34934977,0.05,Radial Velocity,jupi
HD 102365 b,30.0,4.89,Neptune-like,2010,16.0,Earth,0.369,Jupiter,0.46,0.33429158,0.34,Radial Velocity,np
HD 10442 b,442.0,7.828,Gas Giant,2014,1.487,Jupiter,1.21,Jupiter,2.01,2.8,0.13,Radial Velocity,jupi
HD 105618 c,229.0,8.63,Gas Giant,2022,26.90216,Jupiter,1.07,Jupiter,35.74703,211.3,0.13,Radial Velocity,jupi
HD 108863 b,537.0,7.71,Gas Giant,2011,2.414,Jupiter,1.18,Jupiter,1.32,1.1983573,0.03,Radial Velocity,jupi
HD 112640 b,1055.0,6.53649,Gas Giant,2020,5.0,Jupiter,1.15,Jupiter,1.7,1.7,0.24,Radial Velocity,jupi
HD 114082 b,311.0,8.2,Gas Giant,2022,8.0,Jupiter,1.0,Jupiter,0.5109,0.30061603,0.4,Radial Velocity,jupi
HD 11755 b,767.0,6.88269,Gas Giant,2015,5.63,Jupiter,1.14,Jupiter,1.09,1.187406,0.19,Radial Velocity,jupi
HD 131496 b,430.0,7.8,Gas Giant,2011,1.8,Jupiter,1.2,Jupiter,2.01,2.5,0.18,Radial Velocity,jupi
HD 13189 b,1624.0,7.57,Gas Giant,2005,10.95,Jupiter,1.11,Jupiter,1.25,1.2911705,0.27,Radial Velocity,jupi
HD 132406 b,231.0,8.45,Gas Giant,2007,5.38,Jupiter,1.14,Jupiter,1.98,2.7,0.34,Radial Velocity,jupi
HD 136352 d,48.0,5.65,Neptune-like,2019,8.82,Earth,0.229,Jupiter,0.425,0.2934976,0.0,Radial Velocity,np
HD 137496 c,507.0,9.899,Gas Giant,2021,7.66,Jupiter,1.13,Jupiter,1.2163,1.3138946,0.48,Radial Velocity,jupi
HD 1397 b,260.0,7.79,Gas Giant,2018,0.415,Jupiter,1.026,Jupiter,0.1097,0.031485286,0.25,Transit,jupi
HD 141004 b,39.0,4.4154,Neptune-like,2021,13.63484,Earth,0.336,Jupiter,0.1238,0.042436685,0.16,Radial Velocity,np
HD 142415 b,116.0,7.33,Gas Giant,2003,1.67,Jupiter,1.2,Jupiter,1.06,1.0576317,0.5,Radial Velocity,jupi
HD 143361 b,223.0,9.2,Gas Giant,2008,3.532,Jupiter,1.16,Jupiter,1.988,2.8,0.2,Radial Velocity,jupi
HD 14787 b,389.0,7.63,Gas Giant,2018,1.121,Jupiter,1.23,Jupiter,1.7,1.9,0.16,Radial Velocity,jupi
HD 148427 b,233.0,6.90498,Gas Giant,2009,1.3,Jupiter,1.22,Jupiter,1.04,0.90759754,0.16,Radial Velocity,jupi
HD 149806 b,66.0,7.08308,Gas Giant,2022,12.2018,Jupiter,1.1,Jupiter,12.278296,45.3,0.36,Radial Velocity,jupi
HD 150010 b,471.0,6.2893,Gas Giant,2022,2.4,Jupiter,1.18,Jupiter,1.4,1.5,0.2,Radial Velocity,jupi
HD 1502 b,623.0,8.36,Gas Giant,2011,2.75,Jupiter,1.18,Jupiter,1.262,1.173169,0.03,Radial Velocity,jupi
HD 152079 b,287.0,9.18,Gas Giant,2009,2.661,Jupiter,1.18,Jupiter,4.187,8.0,0.53,Radial Velocity,jupi
HD 152581 b,541.0,8.38,Gas Giant,2011,1.869,Jupiter,1.2,Jupiter,1.66,1.9,0.04,Radial Velocity,jupi
HD 154672 b,206.0,8.21,Gas Giant,2008,5.37,Jupiter,1.14,Jupiter,0.6,0.44873372,0.61,Radial Velocity,jupi
HD 155233 b,242.0,6.81,Gas Giant,2015,2.6,Jupiter,1.18,Jupiter,2.0,2.2,0.04,Radial Velocity,jupi
HD 156411 b,185.0,6.67,Gas Giant,2009,0.74,Jupiter,1.25,Jupiter,1.88,2.3,0.22,Radial Velocity,jupi
HD 159243 c,239.0,8.65,Gas Giant,2013,1.9,Jupiter,1.2,Jupiter,0.8,0.68008214,0.08,Radial Velocity,jupi
HD 16175 b,195.0,7.297,Gas Giant,2009,5.1,Jupiter,1.15,Jupiter,2.12,2.7,0.6,Radial Velocity,jupi
HD 165155 b,207.0,9.36,Gas Giant,2016,2.89,Jupiter,1.18,Jupiter,1.13,1.1895962,0.2,Radial Velocity,jupi
HD 174205 b,763.0,6.28209,Gas Giant,2022,4.2,Jupiter,1.16,Jupiter,1.7,1.6,0.4,Radial Velocity,jupi
HD 175541 b,423.0,8.020001,Gas Giant,2007,0.598,Jupiter,1.26,Jupiter,0.975,0.81697464,0.11,Radial Velocity,jupi
HD 180902 b,341.0,7.78,Gas Giant,2009,1.685,Jupiter,1.2,Jupiter,1.4,1.4,0.11,Radial Velocity,jupi
HD 181342 b,393.0,7.55,Gas Giant,2009,2.54,Jupiter,1.18,Jupiter,1.592,1.5,0.02,Radial Velocity,jupi
HD 181433 d,88.0,8.4,Gas Giant,2008,0.54,Jupiter,1.27,Jupiter,3.0,6.0,0.48,Radial Velocity,jupi
HD 181720 b,196.0,7.84,Gas Giant,2009,0.4,Jupiter,1.25,Jupiter,1.85,2.6,0.26,Radial Velocity,jupi
HD 183579 b,187.0,8.67,Neptune-like,2021,19.7,Earth,0.317,Jupiter,0.1334,0.04791239,0.28,Transit,np
HD 18742 b,531.0,7.81,Gas Giant,2011,3.4,Jupiter,1.17,Jupiter,1.82,2.1,0.04,Radial Velocity,jupi
HD 190360 c,52.0,5.738,Neptune-like,2005,19.069,Earth,0.409,Jupiter,0.1304,0.04681725,0.24,Radial Velocity,np
HD 190647 b,178.0,7.78,Gas Giant,2007,1.985,Jupiter,1.19,Jupiter,2.231,3.2,0.22,Radial Velocity,jupi
HD 190984 b,483.0,8.76,Gas Giant,2009,3.1,Jupiter,1.17,Jupiter,5.5,13.4,0.57,Radial Velocity,jupi
HD 191939 g,175.0,8.97,Neptune-like,2022,13.5,Earth,0.334,Jupiter,0.812,0.7775496,0.03,Transit,np
HD 192310 c,29.0,5.73,Neptune-like,2011,24.0,Earth,0.469,Jupiter,1.18,1.4,0.32,Radial Velocity,np
HD 192699 b,234.0,6.45591,Gas Giant,2007,2.096,Jupiter,1.19,Jupiter,1.063,0.93333334,0.08,Radial Velocity,jupi
HD 196067 b,130.0,6.51,Gas Giant,2012,12.5,Jupiter,1.1,Jupiter,5.02,10.0,0.66,Radial Velocity,jupi
HD 19615 b,865.0,6.55594,Gas Giant,2022,8.5,Jupiter,1.12,Jupiter,1.1,1.100616,0.2,Radial Velocity,jupi
HD 20329 b,208.0,8.76,Super Earth,2022,7.42,Earth,1.72,Earth,0.018,0.0024640656,0.0,Transit,sat
HD 205739 b,302.0,8.56,Gas Giant,2008,1.37,Jupiter,1.21,Jupiter,0.896,0.76605064,0.27,Radial Velocity,jupi
HD 207897 b,92.0,8.37,Super Earth,2021,14.4,Earth,0.223,Jupiter,0.1163,0.044353183,0.05,Transit,sat
HD 20794 e,20.0,4.26,Super Earth,2017,4.77,Earth,2.03,Earth,0.509,0.40246406,0.29,Radial Velocity,sat
HD 208527 b,1018.0,6.38984,Gas Giant,2012,9.9,Jupiter,1.11,Jupiter,2.1,2.4,0.08,Radial Velocity,jupi
HD 211970 b,43.0,10.24,Neptune-like,2019,13.0,Earth,0.327,Jupiter,0.143,0.068993844,0.15,Radial Velocity,np
HD 212301 b,177.0,7.76,Gas Giant,2005,0.51,Jupiter,1.27,Jupiter,0.03,0.006023272,0.0,Radial Velocity,jupi
HD 213885 c,157.0,7.95,Neptune-like,2019,19.95,Earth,0.42,Jupiter,0.056798,0.013141684,0.0,Radial Velocity,np
HD 216437 b,87.0,6.04,Gas Giant,2002,2.223,Jupiter,1.19,Jupiter,2.497,3.7,0.32,Radial Velocity,jupi
HD 216520 c,64.0,7.53,Neptune-like,2020,9.44,Earth,0.271,Jupiter,0.528,0.42272416,0.12,Radial Velocity,np
HD 216536 b,1227.0,9.229,Gas Giant,2015,1.05,Jupiter,1.23,Jupiter,0.61,0.40684465,0.38,Radial Velocity,jupi
HD 21749 c,53.0,8.08,Super Earth,2019,3.7,Earth,0.892,Earth,0.0695,0.021355236,0.0,Transit,sat
HD 218566 b,94.0,8.6,Gas Giant,2010,0.2,Jupiter,0.832,Jupiter,0.69,0.6179329,0.3,Radial Velocity,jupi
HD 219134 h,21.0,5.56911,Gas Giant,2015,0.34,Jupiter,1.14,Jupiter,3.11,6.2,0.06,Radial Velocity,jupi
HD 219139 b,342.0,5.84863,Gas Giant,2021,0.78,Jupiter,1.24,Jupiter,0.94,0.7542779,0.11,Radial Velocity,jupi
HD 219415 b,539.0,8.909,Gas Giant,2012,1.0,Jupiter,1.23,Jupiter,3.2,5.7,0.4,Radial Velocity,jupi
HD 220197 b,210.0,8.92,Gas Giant,2018,0.2,Jupiter,0.832,Jupiter,2.729,4.7,0.19,Radial Velocity,jupi
HD 221416 b,312.0,8.15,Gas Giant,2019,0.19,Jupiter,0.836,Jupiter,0.1228,0.039151266,0.12,Transit,jupi
HD 221585 b,182.0,7.457,Gas Giant,2016,1.61,Jupiter,1.21,Jupiter,2.306,3.2,0.12,Radial Velocity,jupi
HD 222076 b,297.0,7.47,Gas Giant,2016,1.56,Jupiter,1.21,Jupiter,1.83,2.4,0.08,Radial Velocity,jupi
HD 224538 b,258.0,8.06,Gas Giant,2016,7.02951,Jupiter,1.13,Jupiter,2.373375,3.3,0.48,Radial Velocity,jupi
HD 224693 b,305.0,8.23,Gas Giant,2006,0.7,Jupiter,1.25,Jupiter,0.191,0.07310062,0.1,Radial Velocity,jupi
HD 22532 b,526.0,7.85,Gas Giant,2022,2.12,Jupiter,1.19,Jupiter,1.9,2.4,0.03,Radial Velocity,jupi
HD 23127 b,306.0,8.58,Gas Giant,2006,1.527,Jupiter,1.21,Jupiter,2.37,3.3,0.41,Radial Velocity,jupi
HD 233604 b,2763.0,10.291,Gas Giant,2013,6.575,Jupiter,1.13,Jupiter,0.747,0.52566737,0.05,Radial Velocity,jupi
HD 23472 f,127.0,9.73,Super Earth,2022,0.77,Earth,1.137,Earth,0.0906,0.03340178,0.07,Transit,sat
HD 23596 b,170.0,7.26122,Gas Giant,2003,11.56265,Jupiter,1.11,Jupiter,2.692222,4.2,0.28,Radial Velocity,jupi
HD 240210 b,1215.0,8.270001,Gas Giant,2009,5.21,Jupiter,1.14,Jupiter,1.16,1.4,0.15,Radial Velocity,jupi
HD 240237 b,3045.0,8.19,Gas Giant,2011,15.89,Jupiter,1.09,Jupiter,1.92,2.0,0.4,Radial Velocity,jupi
HD 24040 c,152.0,7.515,Gas Giant,2021,0.201,Jupiter,0.834,Jupiter,1.3,1.4,0.11,Radial Velocity,jupi
